# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_CODON_INSERTION	variants_effect_DOWNSTREAM	variants_effect_FRAME_SHIFT	variants_effect_FRAME_SHIFT+START_LOST	variants_effect_FRAME_SHIFT+STOP_GAINED	variants_effect_FRAME_SHIFT+STOP_LOST	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_ACCEPTOR+INTRON	variants_effect_SPLICE_SITE_DONOR+INTRON	variants_effect_START_LOST+CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_START_LOST+CODON_INSERTION	variants_effect_STOP_GAINED	variants_effect_STOP_GAINED+CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_STOP_GAINED+CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_STOP_GAINED+CODON_INSERTION	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_SYNONYMOUS_STOP	variants_effect_UPSTREAM	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
PF3D7_0523100	PF3D7_0523100	PF3D7_0523100.1		0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	213	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0523200	PF3D7_0523200	PF3D7_0523200.1		0	0	0	7	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	5000	0	0	0	1	0	309	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0523300	PF3D7_0523300	PF3D7_0523300.1		0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0523400	PF3D7_0523400	PF3D7_0523400.1		0	0	0	11	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	5000	0	0	0	1	0	209	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0523500	PF3D7_0523500	PF3D7_0523500.1		0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0523600	PF3D7_0523600	PF3D7_0523600.1		0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0523700	PF3D7_0523700	PF3D7_0523700.1		0	0	0	13	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	5000	0	0	0	1	0	194	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0523800	PF3D7_0523800	PF3D7_0523800.1		0	2	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	4	0	5000	2	0	2055	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0523900	PF3D7_0523900	PF3D7_0523900.1		0	0	0	8	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	5000	0	0	0	2	0	188	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0524100	PF3D7_0524100	PF3D7_0524100.1		0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0524200	PF3D7_0524200	PF3D7_0524200.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0524300	PF3D7_0524300	PF3D7_0524300.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0524400	PF3D7_0524400	PF3D7_0524400.1		0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0524500	PF3D7_0524500	PF3D7_0524500.1		0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0524600	PF3D7_0524600	PF3D7_0524600.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0524800	PF3D7_0524800	PF3D7_0524800.1		0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0524900	PF3D7_0524900	PF3D7_0524900.1		0	0	1	14	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	5000	1	0	2967	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0525000	PF3D7_0525000	PF3D7_0525000.1		0	0	0	18	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5000
PF3D7_0525200	PF3D7_0525200	PF3D7_0525200.1		0	0	4	13	0	0	2	1	8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	8	0	5000	4	0	5414	1	0	129	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0525300	PF3D7_0525300	PF3D7_0525300.1		0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5000
PF3D7_0525400	PF3D7_0525400	PF3D7_0525400.1		0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5000
PF3D7_0525500	PF3D7_0525500	PF3D7_0525500.1		0	1	2	9	0	0	1	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	8	0	5000	3	0	5592	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0525600	PF3D7_0525600	PF3D7_0525600.1		0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0525700	PF3D7_0525700	PF3D7_0525700.1		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0526000	PF3D7_0526000	PF3D7_0526000.1		0	0	1	6	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	5000	1	0	2421	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0526100	PF3D7_0526100	PF3D7_0526100.1		0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0526300	PF3D7_0526300	PF3D7_0526300.1		0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0526400	PF3D7_0526400	PF3D7_0526400.1		0	0	0	21	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0526500	PF3D7_0526500	PF3D7_0526500.1		2	0	10	8	0	0	1	0	3	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	5	3	0	5000	12	0	4155	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0526600	PF3D7_0526600	PF3D7_0526600.1		16	19	15	26	0	0	1	1	9	14	0	1	0	0	13	0	0	0	0	1	0	0	0	0	19	0	17	9	0	5000	50	0	13575	0	0	0	0	0	0	0	0	0	0	0	0	17	0	5000
PF3D7_0526700	PF3D7_0526700	PF3D7_0526700.1		0	0	0	21	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5000
PF3D7_0526800	PF3D7_0526800	PF3D7_0526800.1		0	0	1	19	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	5000	1	0	1107	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5000
PF3D7_0526900	PF3D7_0526900	PF3D7_0526900.1		0	0	0	13	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5000	0	0	0	5	0	110	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0527400	PF3D7_0527400	PF3D7_0527400.1		0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0527600	PF3D7_0527600	PF3D7_0527600.1		0	0	0	9	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	5000	0	0	0	3	0	185	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0527700	PF3D7_0527700	PF3D7_0527700.1		0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0527800	PF3D7_0527800	PF3D7_0527800.1		0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0527900	PF3D7_0527900	PF3D7_0527900.1		0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0528100	PF3D7_0528100	PF3D7_0528100.1		0	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5000	0	0	0	1	0	144	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0528300	PF3D7_0528300	PF3D7_0528300.1		0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0528600	PF3D7_0528600	PF3D7_0528600.1		0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0528800	PF3D7_0528800	PF3D7_0528800.1		0	0	0	16	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
PF3D7_0528900	PF3D7_0528900	PF3D7_0528900.1		0	0	0	13	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	5000	0	0	0	1	0	166	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0529000	PF3D7_0529000	PF3D7_0529000.1		0	0	0	15	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5000
PF3D7_0529100	PF3D7_0529100	PF3D7_0529100.1		0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0529200	PF3D7_0529200	PF3D7_0529200.1		0	0	0	10	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	5000	0	0	0	1	0	169	0	0	0	0	0	0	0	0	0	7	0	5000
PF3D7_0529400	PF3D7_0529400	PF3D7_0529400.1		0	0	0	20	0	0	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	13	0	203	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0529400	PF3D7_0529400	PF3D7_0529400.2		0	0	0	20	0	0	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	13	0	203	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0529500	PF3D7_0529500	PF3D7_0529500.1		0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	5000
PF3D7_0529600	PF3D7_0529600	PF3D7_0529600.1		0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	5000
PF3D7_0529700	PF3D7_0529700	PF3D7_0529700.1		0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0529800	PF3D7_0529800	PF3D7_0529800.1		2	1	1	10	0	0	1	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	9	0	5000	4	0	4370	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0529900	PF3D7_0529900	PF3D7_0529900.1		0	0	0	11	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000	0	0	0	3	0	206	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0530000	PF3D7_0530000	PF3D7_0530000.1		0	0	0	15	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0530300	PF3D7_0530300	PF3D7_0530300.1		1	0	0	10	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	5000	1	0	4062	1	0	125	0	0	0	0	0	0	0	0	0	7	0	5000
PF3D7_0530400	PF3D7_0530400	PF3D7_0530400.1		1	0	1	7	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	5000	2	0	5355	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0530500	PF3D7_0530500	PF3D7_0530500.1		0	0	0	7	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5000	0	0	0	1	0	198	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0530600	PF3D7_0530600	PF3D7_0530600.1		0	0	0	6	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	5000	0	0	0	2	0	250	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0530700	PF3D7_0530700	PF3D7_0530700.1		0	0	1	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5000	1	0	2499	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0530800	PF3D7_0530800	PF3D7_0530800.1		0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5000	0	0	0	1	0	101	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0530900	PF3D7_0530900	PF3D7_0530900.1		0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0531000	PF3D7_0531000	PF3D7_0531000.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0531100	PF3D7_0531100	PF3D7_0531100.1		0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0531200	PF3D7_0531200	PF3D7_0531200.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0531300	PF3D7_0531300	PF3D7_0531300.1		0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0531400	PF3D7_0531400	PF3D7_0531400.1		0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
PF3D7_0531500	PF3D7_0531500	PF3D7_0531500.1		0	0	1	29	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	27	0	5000	1	0	750	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0531600	PF3D7_0531600	PF3D7_0531600.1		1	0	1	30	0	0	0	0	24	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	24	0	5000	2	0	2092	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0531700	PF3D7_0531700	PF3D7_0531700.1		6	1	8	17	0	0	0	0	9	2	0	1	1	0	8	0	0	0	0	2	0	0	0	0	1	0	8	9	0	5000	15	0	359	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
PF3D7_0531800	PF3D7_0531800	PF3D7_0531800.1		0	0	0	32	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	5000
PF3D7_0531900	PF3D7_0531900	PF3D7_0531900.1		1	0	0	30	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	5000	1	0	199	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5000
PF3D7_0532000	PF3D7_0532000	PF3D7_0532000.1		2	2	4	23	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	8	0	3790	0	0	0	0	0	0	0	0	0	0	0	0	23	0	5000
PF3D7_0532200	PF3D7_0532200	PF3D7_0532200.1		0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0532300	PF3D7_0532300	PF3D7_0532300.1		0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0532500	PF3D7_0532500	PF3D7_0532500.1		0	0	0	15	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0532600	PF3D7_0532600	PF3D7_0532600.1		0	0	0	84	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	5000
PF3D7_0601500	PF3D7_0601500	PF3D7_0601500.1		1	1	3	282	0	0	0	0	220	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	61	220	0	5000	5	0	84	1	0	86	0	0	0	0	0	0	0	0	0	61	0	5000
PF3D7_0601600	PF3D7_0601600	PF3D7_0601600.1		0	1	1	76	0	0	0	0	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	30	46	0	5000	2	0	861	0	0	0	0	0	0	0	0	0	0	0	0	30	0	5000
PF3D7_0601800	PF3D7_0601800	PF3D7_0601800.1		0	0	0	32	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0601900	PF3D7_0601900	PF3D7_0601900.1		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0602000	PF3D7_0602000	PF3D7_0602000.1		0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0602100	PF3D7_0602100	PF3D7_0602100.1		0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
PF3D7_0602200	PF3D7_0602200	PF3D7_0602200.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0602500	PF3D7_0602500	PF3D7_0602500.1		0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0602600	PF3D7_0602600	PF3D7_0602600.1		0	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5000	0	0	0	1	0	355	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0602700	PF3D7_0602700	PF3D7_0602700.1		0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0602900	PF3D7_0602900	PF3D7_0602900.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
PF3D7_0603000	PF3D7_0603000	PF3D7_0603000.1		1	0	0	13	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	5000	1	0	1779	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0603100	PF3D7_0603100	PF3D7_0603100.1		0	2	7	5	0	1	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	2	3	0	5000	9	0	1359	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0603200	PF3D7_0603200	PF3D7_0603200.1		0	0	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5000
PF3D7_0603600	PF3D7_0603600	PF3D7_0603600.1		0	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5000	0	0	0	1	0	261	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0603900	PF3D7_0603900	PF3D7_0603900.1		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
PF3D7_0604000	PF3D7_0604000	PF3D7_0604000.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0604200	PF3D7_0604200	PF3D7_0604200.1		0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5000
PF3D7_0604300	PF3D7_0604300	PF3D7_0604300.1		0	0	0	20	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5000
PF3D7_0604400	PF3D7_0604400	PF3D7_0604400.1		0	0	0	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0604500	PF3D7_0604500	PF3D7_0604500.1		1	0	1	16	0	0	0	1	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	5000	2	0	8374	1	0	153	0	0	0	0	0	0	0	0	0	9	0	5000
PF3D7_0604600	PF3D7_0604600	PF3D7_0604600.1		0	0	0	8	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	4	0	355	0	0	0	0	0	0	0	0	0	3	0	5000
PF3D7_0604800	PF3D7_0604800	PF3D7_0604800.1		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
PF3D7_0604900	PF3D7_0604900	PF3D7_0604900.1		0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
